id,description
1,"A massive pothole is blocking the exit near the primary school. A child almost tripped today."
2,"There is garbage everywhere on the street. It's becoming a health hazard."
3,"The street light is flickering on 5th avenue."
4,"Flooding in the basement after the heavy rain yesterday."
5,"Someone is playing loud music at 3am, the noise is unbearable."
6,"The heritage building wall has a huge crack now."
7,"Extreme heat hazard reported in the public park."
8,"The drain is blocked by leaves and smells bad."
9,"Road damage near the hospital, an ambulance almost got stuck."
10,"The fire hazard due to dry leaves near the transformer is worrying."
11,"kjshdfk dskjfh dskjfh"
12,"I love the weather in Navi Mumbai today."
13,"The sidewalk has collapsed near the bus stop."
14,"Potholes on the main highway are getting worse."
15,"Someone fell because of the uneven road surface."
